instance,folder,approach,approach_name,time_budget,workers,runtime_sec,makespan,valid,status,error
PSP1.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,1.0,1,0.529,47,True,OK,
PSP2.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,1.0,1,0.5486,49,True,OK,
PSP3.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,1.0,1,0.5883,74,True,OK,
PSP4.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,1.0,1,0.4068,45,True,OK,
PSP5.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,1.0,1,0.4211,55,True,OK,
PSP6.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,1.0,1,0.6077,73,True,OK,
PSP7.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,1.0,1,0.48,57,True,OK,
PSP8.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,1.0,1,0.4875,67,True,OK,
PSP9.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,1.0,1,0.6185,67,True,OK,
PSP10.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,1.0,1,0.4699,53,True,OK,
PSP1.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,1.0,1,1.0518,45,True,OK,
PSP2.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,1.0,1,1.0338,51,True,OK,
PSP3.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,1.0,1,1.0316,80,True,OK,
PSP4.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,1.0,1,1.0226,44,True,OK,
PSP5.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,1.0,1,1.0883,55,True,OK,
PSP6.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,1.0,1,1.09,73,True,OK,
PSP7.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,1.0,1,1.1508,58,True,OK,
PSP8.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,1.0,1,1.021,67,True,OK,
PSP9.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,1.0,1,1.1808,67,True,OK,
PSP10.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,1.0,1,1.1511,53,True,OK,
