instance,folder,approach,approach_name,time_budget,workers,runtime_sec,makespan,valid,status,error
PSP1.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,5.0,1,0.4338,48,True,OK,
PSP2.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,5.0,1,0.7599,49,True,OK,
PSP3.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,5.0,1,0.7255,76,True,OK,
PSP4.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,5.0,1,0.5283,45,True,OK,
PSP5.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,5.0,1,0.5886,55,True,OK,
PSP6.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,5.0,1,0.7225,73,True,OK,
PSP7.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,5.0,1,0.4679,58,True,OK,
PSP8.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,5.0,1,0.4858,67,True,OK,
PSP9.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,5.0,1,0.608,67,True,OK,
PSP10.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,5.0,1,0.3939,53,True,OK,
PSP1.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,5.0,1,5.1146,45,True,OK,
PSP2.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,5.0,1,5.0189,42,True,OK,
PSP3.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,5.0,1,5.1726,74,True,OK,
PSP4.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,5.0,1,5.0001,44,True,OK,
PSP5.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,5.0,1,5.1351,55,True,OK,
PSP6.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,5.0,1,5.0676,74,True,OK,
PSP7.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,5.0,1,5.0975,57,True,OK,
PSP8.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,5.0,1,5.0092,67,True,OK,
PSP9.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,5.0,1,5.0622,67,True,OK,
PSP10.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,5.0,1,5.0264,53,True,OK,
