folder,run_id,approach,approach_name,workers,instances,valid_count,invalid_count,avg_runtime_sec,avg_makespan_valid
sm_j10,ga_run1_w1,ga,Genetic Algorithm + SSGS Decoder,1,270,253,17,0.3166,36.6601
sm_j10,ga_run2_w4,ga,Genetic Algorithm + SSGS Decoder,4,270,253,17,0.5822,36.6008
sm_j10,id_ssgs_run1_w1,id_ssgs,Serial Schedule Generation Scheme (Priority by Activity ID),1,270,253,17,0.0004,40.7233
sm_j10,lft_ssgs_run1_w1,lft_ssgs,Serial Schedule Generation Scheme (Latest Finish Time priority),1,270,253,17,0.0004,40.1621
sm_j10,topo_seq_run1_w1,topo_seq,Topological Sequential Baseline (precedence-only),1,270,253,17,0.0,55.2134
